"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","768","getUserReturnsCorrectUserData","Surefire suite","Sat Aug 15 09:29:15 UTC 2026","passed","Sat Aug 15 09:29:15 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","getUserReturnsCorrectUserData"
"","0","findByEmailReturnsEmptyForUnknownEmail","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findByEmailReturnsEmptyForUnknownEmail"
"","265","getNonExistingUserReturnsNotFound","Surefire suite","Sat Aug 15 09:29:14 UTC 2026","passed","Sat Aug 15 09:29:15 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","getNonExistingUserReturnsNotFound"
"","17","testUser","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.UserTest","Surefire test","com.mobileframework.tests.UserTest","testUser"
"","0","getInstanceReturnsSameInstance","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","getInstanceReturnsSameInstance"
"","163","loginWithoutPasswordReturnsBadRequest","Surefire suite","Sat Aug 15 09:29:16 UTC 2026","passed","Sat Aug 15 09:29:16 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","loginWithoutPasswordReturnsBadRequest"
"","0","groupUsersByAgeGroupsCorrectly","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","groupUsersByAgeGroupsCorrectly"
"","0","pickRandomReturnsTheOnlyElementFromSingleElementList","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomReturnsTheOnlyElementFromSingleElementList"
"","5","createDriverReturnsIOSDriverForIOSPlatform","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","createDriverReturnsIOSDriverForIOSPlatform"
"","10","addedUserCanBeFoundByEmail","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","addedUserCanBeFoundByEmail"
"","1","configLoaderReturnsPlatformFromFile","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","configLoaderReturnsPlatformFromFile"
"","1","getUserByEmailThrowsForUnknownEmail","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","getUserByEmailThrowsForUnknownEmail"
"","0","pickRandomThrowsForEmptyList","Surefire suite","Sat Aug 15 09:29:12 UTC 2026","passed","Sat Aug 15 09:29:12 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomThrowsForEmptyList"
