"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","210","loginWithValidCredentialsReturnsToken","Surefire suite","Mon Aug 17 12:41:11 UTC 2026","passed","Mon Aug 17 12:41:11 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","loginWithValidCredentialsReturnsToken"
"","1","findAllEmails","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findAllEmails"
"","1","getUserByEmailThrowsForUnknownEmail","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","getUserByEmailThrowsForUnknownEmail"
"","1","pickRandomReturnsTheOnlyElementFromSingleElementList","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomReturnsTheOnlyElementFromSingleElementList"
"","1","isEmailExistReturnsTrueForAddedUserAndFalseForUnknown","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","isEmailExistReturnsTrueForAddedUserAndFalseForUnknown"
"","11","addedUserCanBeFoundByEmail","Surefire suite","Mon Aug 17 12:41:06 UTC 2026","passed","Mon Aug 17 12:41:06 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","addedUserCanBeFoundByEmail"
"","28","testUser","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserTest","Surefire test","com.mobileframework.tests.UserTest","testUser"
"","0","findByEmailReturnsEmptyForUnknownEmail","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findByEmailReturnsEmptyForUnknownEmail"
"","1","configLoaderReturnsPlatformFromFile","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","configLoaderReturnsPlatformFromFile"
"","1","groupUsersByAgeGroupsCorrectly","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","groupUsersByAgeGroupsCorrectly"
"","2844","createUserReturnsCreatedWithId","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:10 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","createUserReturnsCreatedWithId"
"","0","pickRandomThrowsForEmptyList","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomThrowsForEmptyList"
"","1075","getUserReturnsCorrectUserData","Surefire suite","Mon Aug 17 12:41:10 UTC 2026","passed","Mon Aug 17 12:41:11 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","getUserReturnsCorrectUserData"
"","197","loginWithoutPasswordReturnsBadRequest","Surefire suite","Mon Aug 17 12:41:11 UTC 2026","passed","Mon Aug 17 12:41:11 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","loginWithoutPasswordReturnsBadRequest"
"","1","pickRandomReturnsElementFromTheList","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomReturnsElementFromTheList"
"","50","createDriverReturnsAndroidDriverForAndroidPlatform","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","createDriverReturnsAndroidDriverForAndroidPlatform"
"","1","getUserByEmailReturnsAddedUser","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","getUserByEmailReturnsAddedUser"
"","32","createDriverReturnsIOSDriverForIOSPlatform","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","createDriverReturnsIOSDriverForIOSPlatform"
"","1","findUsersOlderThanReturnsOnlyMatchingUsers","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findUsersOlderThanReturnsOnlyMatchingUsers"
"","1","foundUserEqualsNewUserWithSameEmail","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","foundUserEqualsNewUserWithSameEmail"
"","0","getInstanceReturnsSameInstance","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","getInstanceReturnsSameInstance"
"","1","driverLifecycleWorksWithConfigPlatform","Surefire suite","Mon Aug 17 12:41:07 UTC 2026","passed","Mon Aug 17 12:41:07 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","driverLifecycleWorksWithConfigPlatform"
"","339","getNonExistingUserReturnsNotFound","Surefire suite","Mon Aug 17 12:41:10 UTC 2026","passed","Mon Aug 17 12:41:10 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","getNonExistingUserReturnsNotFound"
